,question,context,answer,question_type,episode_done
0,What are the potential drawbacks of incorporating JiHu-specific database objects into GitLab?,"- ""Even though we can switch back to GitLab given the same database schema, we have not yet decided how to treat existing JiHu-specific data in that situation.""
- ""Once switched back to GitLab, there will be no code anymore that maintains JiHu-specific data - which might cause issues e.g. because of constraint violations or inconsistent data in case the installation is later moved back to JiHu again.""
- ""We add database objects to GitLab that are unused in the codebase.""
- ""We accept overhead for any GitLab installation, including GitLab.com,to create and maintain JiHu-specific database objects that are not strictly in use by or necessary for GitLab.""
- ""Always having to go through GitLab to add database migrations limits flexibility for JiHu.""
- ""Code review overhead: Without accompanying code, it is often difficult to provide meaningful feedback for database design.""","The potential drawbacks of incorporating JiHu-specific database objects into GitLab are:
1. Constraint violations and inconsistent data: If the installation is later moved back to JiHu, there may be issues with constraint violations or inconsistent data because there will be no code maintaining JiHu-specific data in GitLab.
2. Unused database objects: Adding database objects to GitLab that are unused in the codebase can lead to unnecessary overhead and maintenance.
3. Overhead for GitLab installations: Creating and maintaining JiHu-specific database objects that are not strictly necessary for GitLab can add overhead to any GitLab installation, including GitLab.com.
4. Limited flexibility for JiHu: Always having to go through GitLab to add database migrations can limit flexibility for JiHu.
5. Code review overhead: Without accompanying code, providing meaningful feedback for database design can be difficult, leading to additional overhead in the code review process.",multi_context,False
1,"On the other hand, what are the potential risks or complications that may arise from adding JiHu-specific database objects to GitLab?","- Even though we can switch back to GitLab given the same database schema, we have not yet decided how to treat existing JiHu-specific data in that situation.
- Once switched back to GitLab, there will be no code anymore that maintains JiHu-specific data - which might cause issues e.g. because of constraint violations or inconsistent data in case the installation is later moved back to JiHu again.
- We add database objects to GitLab that are unused in the codebase.
- By annotating objects, we keep track of this to reduce confusion.
- We accept overhead for any GitLab installation, including GitLab.com, to create and maintain JiHu-specific database objects that are not strictly in use by or necessary for GitLab.
- For GitLab.com, we may choose to ignore JiHu-specific indexes (we don't need to be able to upgrade to JH).
- Always having to go through GitLab to add database migrations limits flexibility for JiHu.
- We expect benefits from collaborating closely on database design in terms of knowledge exchange.
- Without accompanying code, it is often difficult to provide meaningful feedback for database design.
- We ask to link relevant code changes and provide as much information as possible upfront.","The potential risks or complications that may arise from adding JiHu-specific database objects to GitLab include constraint violations and inconsistent data if the installation is later moved back to JiHu. Additionally, there may be unused database objects in GitLab that are not necessary for its functionality. However, these objects are annotated to reduce confusion. There may also be overhead in creating and maintaining JiHu-specific database objects for GitLab installations. For GitLab.com, JiHu-specific indexes may be ignored. Adding database migrations through GitLab limits flexibility for JiHu. However, there are expected benefits from collaborating closely on database design, such as knowledge exchange. Without accompanying code, it may be difficult to provide meaningful feedback for database design, so it is requested to link relevant code changes and provide as much information as possible upfront.",multi_context,True
2,What should be included in the briefing document for candidate interviews in terms of meeting duration and visibility options?,"- Candidate interviews should default to 50 minutes unless there is a specific request to make the meeting shorter or longer.
- There should be an invite that includes both the candidate and the CEO.
- If this is a C-level candidate or it is otherwise requested, the meeting should have ""private"" visibility. Otherwise, it can be ""public.""
- There should be a second calendar invite from Sid's account with the subject: [Shadow or No Shadows] CEO Briefing Doc: [Person's Name].
- This should follow the ""private"" conventions shared in item 2.
- This invite should include a briefing document that contains the following information:
  - Role with a link to the job family
  - Candidate's LinkedIn link
  - Link to resume
  - Link to the prep package from the recruiter (relevant for searches with external recruiters)
  - Summary of interviews to date
  - Concerns for the interviewer to dig into.
  - Focus of the call. Is it more about evaluating the candidate or more about getting the candidate excited about the position?
  - The Greenhouse link or a place for ""CEO Notes""","The briefing document for candidate interviews should include the following information:
- Meeting duration: The default duration for candidate interviews should be 50 minutes, unless there is a specific request to make the meeting shorter or longer.
- Visibility options: If the candidate is a C-level candidate or if it is otherwise requested, the meeting should have ""private"" visibility. Otherwise, it can be ""public.""
- Invite: The invite should include both the candidate and the CEO.
- Second calendar invite: There should be a second calendar invite from Sid's account with the subject: [Shadow or No Shadows] CEO Briefing Doc: [Person's Name]. This invite should follow the ""private"" conventions shared in item 2.
- Briefing document: The invite should include a briefing document that contains the following information:
  - Role with a link to the job family
  - Candidate's LinkedIn link
  - Link to resume
  - Link to the prep package from the recruiter (relevant for searches with external recruiters)
  - Summary of interviews to date
  - Concerns for the interviewer to dig into
  - Focus of the call: Whether it is more about evaluating the candidate or more about getting the candidate excited about the position
  - The Greenhouse link or a place for ""CEO Notes""",conditional,False
3,What specific content requirements should be considered when creating a briefing document for candidate interviews?,"- There should be a second calendar invite from Sid's account with the subject: [Shadow or No Shadows] CEO Briefing Doc: [Person's Name].
- This invite should include a briefing document that contains the following information:
- Role with a link to the job family
- Candidate's LinkedIn link
- Link to resume
- Link to the prep package from the recruiter (relevant for searches with external recruiters)
- Summary of interviews to date
- Concerns for the interviewer to dig into.
- Focus of the call. Is it more about evaluating the candidate or more about getting the candidate excited about the position?
- The Greenhouse link or a place for ""CEO Notes""","The specific content requirements that should be considered when creating a briefing document for candidate interviews are:

1. Role with a link to the job family
2. Candidate's LinkedIn link
3. Link to resume
4. Link to the prep package from the recruiter (relevant for searches with external recruiters)
5. Summary of interviews to date
6. Concerns for the interviewer to dig into
7. Focus of the call - whether it is more about evaluating the candidate or getting the candidate excited about the position
8. The Greenhouse link or a place for ""CEO Notes""",conditional,True
4,What is the responsibility of the incoming shadow in the onboarding process?,"- Outgoing shadows are responsible for training incoming shadows.
- The incoming shadow is responsible for creating their onboarding issue.
- Assign the issue to both the incoming and outgoing shadows.
- The incoming shadow is responsible for creating their onboarding issue by the Friday before they start the program.",The responsibility of the incoming shadow in the onboarding process is to create their onboarding issue by the Friday before they start the program.,simple,True
5,What specific aspects of JiHu product decisions are handled by other teams or individuals besides GitLab Product Managers?,"- GitLab Product Managers are not responsible for JiHu product decisions, such as tiering, pricing.
- Just like PMs aren't the arbiters of community contribution, product managers are not the arbiter of what the JiHu team works on.
- We differentiate proprietary features for JiHu distributions by including them in the `/jh` directory.
- However, the majority of contributions from JiHu team members should be outside of the `/jh` directory signaling the expectation that most contributions are to GitLab Core and only certain specific features are exclusive to the /jh offering.","Other teams or individuals besides GitLab Product Managers handle the specific aspects of JiHu product decisions, such as tiering and pricing.",conditional,False
6,"In terms of JiHu product decisions, what areas do GitLab Product Managers not have control over?","- GitLab Product Managers are not responsible for JiHu product decisions, such as tiering, pricing.
- Just like PMs aren't the arbiters of community contribution, product managers are not the arbiter of what the JiHu team works on.
- We differentiate proprietary features for JiHu distributions by including them in the `/jh` directory.
- However, the majority of contributions from JiHu team members should be outside of the `/jh` directory signaling the expectation that most contributions are to GitLab Core and only certain specific features are exclusive to the /jh offering.",GitLab Product Managers do not have control over JiHu product decisions such as tiering and pricing.,conditional,True
7,What should you do during the CEO's 1:1 meetings as a remote shadow?,"- Take breaks from your desk when there is a break in the CEO's schedule.
- Consider switching locations in your home or workspace during the CEO's 1:1 meetings.
- It is OK if you need to drop from a meeting to handle tasks at home, from childcare to answering the door, or anything in between.
- Consider taking one or two days off after your rotation.","During the CEO's 1:1 meetings as a remote shadow, you should take breaks from your desk when there is a break in the CEO's schedule. You can also consider switching locations in your home or workspace during these meetings. It is also acceptable if you need to drop from a meeting to handle tasks at home or any other responsibilities. Additionally, it is recommended to take one or two days off after your rotation.",simple,True
8,What are the specific guidelines in the Communication guidelines for reminding employees about slide preparation for the CEO's video in the absence of timely announcements?,"- If there aren't any timely announcements, take this opportunity to remind folks about some of the key features of our Communication guidelines, including our Top Misused Terms, MECEFU, or Why we track public Slack messages.
- Be sure that slides are prepared with enough notice for the CEO to record a video and for it to be shared at least 24 hours in advance of the Group Conversation.","The specific guidelines in the Communication guidelines for reminding employees about slide preparation for the CEO's video in the absence of timely announcements are to remind employees about the key features of the Communication guidelines, such as the Top Misused Terms, MECEFU, or the reason for tracking public Slack messages. Additionally, it is important to ensure that slides are prepared with enough notice for the CEO to record a video and for it to be shared at least 24 hours in advance of the Group Conversation.",reasoning,True
9,What are some short-term administrative tasks that a CEO Shadow may be asked to perform during the program?,"- ""There are many short-term administrative tasks you'll be asked to perform as a shadow.""
- ""Here are some examples:""
- ""Make handbook updates (use the ceo-shadow label).""
- ""Post the MR links in the `#ceo` Slack channel and `@`-reference the CEO so the CEO knows they have been completed.""
- ""Draft a 'tweet storm'.""
- ""Solve urgent issues.""
- ""Go through open merge requests and work towards merging or closing any that have not been merged.""
- ""Go through open issues in the CEO shadow project and work towards closing or creating a subsequent merge request to close out.""
- ""Iterate and complete small tasks as they come up.""
- ""Compile a report on a subject.""
- ""Write a blog post on the public company blog, a recorded reflection of your experience, or a CEO Interview on a topic of your choice.""
- ""Provide training to the incoming CEO Shadow(s).""
- ""Prepare for, take notes during, and follow up on meetings.""
- ""Publicly advise when people are not following the communication guidelines.""
- ""Share thanks in the `#thanks` channel in Slack when it comes from a customer or wider community member in a meeting.""
- ""Speak up when the CEO displays flawed behavior.""
- ""Immediately following meetings, score the CEO on overall positivity score in the `Positivity Score` google sheet shared with `ceo-shadow@gitlab.com`.""
- ""Ensure visual aids and presentations are visible to guests during in-person meetings.""
- ""Prepare for and receive guests at Mission Control.""
- ""Offer GitLab swag to guests at Mission Control before they leave.""
- ""Answer the phone and door at Mission control.""","Some short-term administrative tasks that a CEO Shadow may be asked to perform during the program include making handbook updates, posting MR links in the Slack channel, drafting a 'tweet storm', solving urgent issues, going through open merge requests and issues, completing small tasks as they come up, compiling reports, writing blog posts, providing training to incoming CEO Shadows, preparing for and taking notes during meetings, publicly advising when communication guidelines are not followed, sharing thanks in the Slack channel, speaking up when the CEO displays flawed behavior, scoring the CEO's overall positivity, ensuring visual aids and presentations are visible during meetings, preparing for and receiving guests at Mission Control, offering GitLab swag to guests, and answering the phone and door at Mission Control.",reasoning,False
10,How are these tasks related to attending meetings with the CEO?,"- Of course, you'll also attend meetings that the CEO attends.
- During meetings, you will:
- Prepare for, take notes during, and follow up on meetings.
- Publicly advise when people are not following the communication guidelines.
- Share thanks in the `#thanks` channel in Slack when it comes from a customer or wider community member in a meeting.
- Speak up when the CEO displays flawed behavior.
- Immediately following meetings, score the CEO on overall positivity score in the `Positivity Score` google sheet shared with `ceo-shadow@gitlab.com`.
- Each shadow should give a score for all meetings attended.
- Scores can range from 1 (the least positive someone could respectfully be) to 5 (CEO was highly engaged, reactions were authentically positive), focused on the CEO's presence and reactions during the meeting.
- At the end of the day, post the score for each meeting to the `#ceo-shadow-private` Slack channel and `@` mention the CEO.
- Ensure visual aids and presentations are visible to guests during in-person meetings.
- Prepare for and receive guests at Mission Control.
- Offer GitLab swag to guests at Mission Control before they leave.
- Answer the phone and door at Mission control.","These tasks are related to attending meetings with the CEO because they involve preparing for, taking notes during, and following up on meetings. Additionally, the tasks include publicly advising when people are not following communication guidelines, speaking up when the CEO displays flawed behavior, and scoring the CEO on overall positivity in meetings. The tasks also involve posting the scores for each meeting to the designated Slack channel and mentioning the CEO. Furthermore, the tasks include ensuring visual aids and presentations are visible to guests during in-person meetings, preparing for and receiving guests at Mission Control, offering GitLab swag to guests, and answering the phone and door at Mission Control.",reasoning,True
11,Who can assist product managers in establishing connections with JiHu counterparts?,"- Product Managers can share their public directions and work with the JiHu team to help JiHu become self-sufficient and efficient.
- At times, product managers are asked to provide feedback or directly respond to specific proposals from JiHu.
- GitLab PMs should help facilitate collaboration between GitLab engineers and the JiHu team.
- If product managers need help connecting with JiHu counterparts, ping the Product DRI in #jihu-product.",The Product DRI in #jihu-product can assist product managers in establishing connections with JiHu counterparts.,conditional,False
12,"If product managers require assistance in connecting with JiHu counterparts, who should they reach out to?","- If product managers need help connecting with JiHu counterparts, ping the Product DRI in #jihu-product.",Product managers should reach out to the Product DRI in #jihu-product for assistance in connecting with JiHu counterparts.,conditional,True
